version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+p000000+t000000,p000000,t000000,baseline,Đo hành vi chưa tối ưu của starter prompt,case_accuracy,,0.35,runs/v0_B_base_openrouter.json
v1,team,system_prompt.md,v1+pd2439d839819+t011c271ef0bb,d2439d839819,011c271ef0bb,"Sửa decision policy cho no-tool, out-of-scope, current news và multi-source routing","Nếu loại bỏ hành vi đoán bừa, ép một tool và luôn gọi tool thì case accuracy và routing accuracy sẽ tăng",case_accuracy,0.65,0.80,runs/v1_B_base_openai_20260729T151120622341.json
v2,team,tools.yaml,v2+pd2439d839819+t1164d588384c,d2439d839819,1164d588384c,"Làm rõ tool boundaries và negative routing rules","Nếu mô tả rõ khi nào phải clarify, cấm bịa URL và ưu tiên latest source instruction thì routing và argument accuracy sẽ tăng",case_accuracy,0.80,0.90,runs/v2_B_base_openai_20260729T151833874673.json
v3,team,system_prompt.md+tools.yaml,v3+p6b82da5395c3+t632ade23e052,6b82da5395c3,632ade23e052,fine-tune robotics,Bổ sung robotics domain knowledge + map handles + robot_specs tool,case_accuracy,0.85,0.90,runs/v3_B_base_openrouter_20260729T151625588143.json
